Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-07T20:30,1.929,3.03,5.75,7.265,77,25.35
2022-01-07T21:00,2.024,3.65,5.863,8.846,80,25.3
2022-01-07T21:30,2.05,3.32,6.044,8.391,80,25.3
2022-01-07T22:00,1.931,3.27,5.686,8.543,81,25.3
2022-01-07T22:30,1.867,3.18,5.606,7.591,81,25.3
2022-01-07T23:00,1.832,2.62,5.475,8.556,77,25.3
2022-01-07T23:30,1.865,3.3,5.46,8.502,81,25.3
2022-01-08T00:00,1.886,3.23,5.906,8.401,80,25.3
2022-01-08T00:30,1.875,3.15,5.721,8.155,80,25.3
2022-01-08T01:00,1.812,3.12,5.803,8.115,77,25.3
2022-01-08T01:30,1.632,2.73,5.246,8.151,84,25.3
2022-01-08T02:00,1.872,2.94,5.798,8.278,77,25.3
2022-01-08T02:30,1.716,2.75,5.497,8.124,83,25.3
2022-01-08T03:00,1.744,3.19,5.501,7.588,71,25.3
2022-01-08T03:30,1.711,3.12,5.688,7.591,83,25.3
2022-01-08T04:00,1.77,3.733,5.657,7.828,71,25.3
2022-01-08T04:30,1.744,2.98,5.48,8.17,74,25.3
2022-01-08T05:00,1.708,2.61,5.76,8.463,73,25.3
2022-01-08T05:30,1.681,2.66,5.551,8.136,71,25.3
2022-01-08T06:00,1.55,2.83,5.486,7.852,78,25.3
2022-01-08T06:30,1.628,2.75,5.238,7.293,80,25.35
2022-01-08T07:00,1.745,3.45,5.487,7.882,71,25.3
2022-01-08T07:30,1.643,3.29,5.218,7.99,78,25.3
2022-01-08T08:00,1.618,2.48,5.391,7.644,78,25.3
2022-01-08T08:30,1.641,2.63,5.479,7.898,83,25.3
2022-01-08T09:00,1.479,2.44,5.36,7.852,81,25.3
2022-01-08T09:30,1.405,2.5,5.422,7.268,75,25.3
2022-01-08T10:00,1.45,2.63,5.228,8.468,83,25.3
2022-01-08T10:30,1.451,2.24,5.568,7.796,83,25.3
2022-01-08T11:00,1.418,2.1,5.406,7.028,84,25.35
2022-01-08T11:30,1.478,2.4,5.662,7.619,74,25.35
2022-01-08T12:00,1.427,2.46,5.464,7.916,81,25.35
2022-01-08T12:30,1.358,2.34,5.374,7.548,83,25.35
2022-01-08T13:00,1.471,2.5,5.609,7.058,90,25.35
2022-01-08T13:30,1.42,2.34,5.613,8.132,83,25.35
2022-01-08T14:00,1.347,2.42,5.509,7.37,80,25.35
